"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 27 03:49:02 GMT 2024","Tue Aug 27 03:49:35 GMT 2024","33284","","DataProvider Example","","Verify Page Title","","Verify Page Title",""
"failed","Tue Aug 27 03:49:02 GMT 2024","Tue Aug 27 03:49:35 GMT 2024","33119","","Home Page","","Verify Tesla Page Title","","Verify Tesla Page Title",""
"broken","Tue Aug 27 03:49:02 GMT 2024","Tue Aug 27 03:50:02 GMT 2024","59790","","DataProvider Example","","Verify Page Title","","Verify Page Title",""
"passed","Tue Aug 27 03:49:02 GMT 2024","Tue Aug 27 03:49:35 GMT 2024","33225","","DataProvider Example","","Verify Page Title","","Verify Page Title",""
"passed","Tue Aug 27 03:49:02 GMT 2024","Tue Aug 27 03:49:35 GMT 2024","33340","","DataProvider Example","","Verify Page Title","","Verify Page Title",""
"passed","Tue Aug 27 03:49:02 GMT 2024","Tue Aug 27 03:49:36 GMT 2024","34416","","Home Page","","Verify Apple Page Title","","Verify Apple Page Title",""
"passed","Tue Aug 27 03:49:02 GMT 2024","Tue Aug 27 03:49:35 GMT 2024","33170","","Home Page","","Verify Google Page Title","","Verify Google Page Title",""
"broken","Tue Aug 27 03:49:02 GMT 2024","Tue Aug 27 03:49:56 GMT 2024","54292","","Home Page","","Verify Adobe Page Title","","Verify Adobe Page Title",""
