"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 27 03:44:08 GMT 2024","Tue Aug 27 03:45:06 GMT 2024","57864","","Home Page","","Verify Adobe Page Title","","Verify Adobe Page Title",""
"passed","Tue Aug 27 03:44:08 GMT 2024","Tue Aug 27 03:44:41 GMT 2024","33657","","Home Page","","Verify Google Page Title","","Verify Google Page Title",""
"failed","Tue Aug 27 03:44:08 GMT 2024","Tue Aug 27 03:44:42 GMT 2024","33713","","Home Page","","Verify Tesla Page Title","","Verify Tesla Page Title",""
"passed","Tue Aug 27 03:44:08 GMT 2024","Tue Aug 27 03:44:42 GMT 2024","34441","","Home Page","","Verify Apple Page Title","","Verify Apple Page Title",""
"failed","Tue Aug 27 03:44:08 GMT 2024","Tue Aug 27 03:44:41 GMT 2024","33490","","DataProvider Example","","Verify Page Title","","Verify Page Title",""
"broken","Tue Aug 27 03:44:08 GMT 2024","Tue Aug 27 03:45:08 GMT 2024","60067","","DataProvider Example","","Verify Page Title","","Verify Page Title",""
"passed","Tue Aug 27 03:44:08 GMT 2024","Tue Aug 27 03:44:42 GMT 2024","33834","","DataProvider Example","","Verify Page Title","","Verify Page Title",""
"passed","Tue Aug 27 03:44:08 GMT 2024","Tue Aug 27 03:44:41 GMT 2024","33589","","DataProvider Example","","Verify Page Title","","Verify Page Title",""
